pk_resumen,lat,lon,score_final,dias_evaluados,dias_optimos,pct_optimos,mes,score_mensual_promedio,variabilidad_score,confort_pct_mes,desviacion_estacional,aggregated_at
4.299608|-76.099525|4,4.299608,-76.099525,77.71,3643,720,19.76,4,63.63,16.46,53.15,-14.08,2026-04-14 09:57:56.419936-05
4.299608|-76.099525|5,4.299608,-76.099525,77.71,3643,720,19.76,5,62.83,16.12,51.47,-14.88,2026-04-14 09:57:56.419936-05
4.299608|-76.099525|6,4.299608,-76.099525,77.71,3643,720,19.76,6,63.33,16.33,52.0,-14.38,2026-04-14 09:57:56.419936-05
4.299608|-76.099525|7,4.299608,-76.099525,77.71,3643,720,19.76,7,64.18,18.1,54.56,-13.53,2026-04-14 09:57:56.419936-05
4.299608|-76.099525|8,4.299608,-76.099525,77.71,3643,720,19.76,8,64.38,20.31,56.12,-13.33,2026-04-14 09:57:56.419936-05
4.299608|-76.099525|9,4.299608,-76.099525,77.71,3643,720,19.76,9,65.32,20.08,57.73,-12.39,2026-04-14 09:57:56.419936-05
4.299608|-76.099525|10,4.299608,-76.099525,77.71,3643,720,19.76,10,62.44,17.07,50.36,-15.27,2026-04-14 09:57:56.419936-05
4.299608|-76.099525|11,4.299608,-76.099525,77.71,3643,720,19.76,11,60.46,16.17,44.35,-17.25,2026-04-14 09:57:56.419936-05
4.299608|-76.099525|12,4.299608,-76.099525,77.71,3643,720,19.76,12,61.78,17.07,48.51,-15.93,2026-04-14 09:57:56.419936-05
5.199612|-75.599522|1,5.199612,-75.599522,77.11,3643,493,13.53,1,61.8,18.87,48.82,-15.31,2026-04-14 09:57:56.419936-05
5.199612|-75.599522|2,5.199612,-75.599522,77.11,3643,493,13.53,2,64.84,18.46,55.99,-12.27,2026-04-14 09:57:56.419936-05
5.199612|-75.599522|3,5.199612,-75.599522,77.11,3643,493,13.53,3,64.74,17.04,55.4,-12.37,2026-04-14 09:57:56.419936-05
5.199612|-75.599522|4,5.199612,-75.599522,77.11,3643,493,13.53,4,63.63,16.46,53.15,-13.48,2026-04-14 09:57:56.419936-05
5.199612|-75.599522|5,5.199612,-75.599522,77.11,3643,493,13.53,5,62.83,16.12,51.47,-14.28,2026-04-14 09:57:56.419936-05
5.199612|-75.599522|6,5.199612,-75.599522,77.11,3643,493,13.53,6,63.33,16.33,52.0,-13.78,2026-04-14 09:57:56.419936-05
5.199612|-75.599522|7,5.199612,-75.599522,77.11,3643,493,13.53,7,64.18,18.1,54.56,-12.93,2026-04-14 09:57:56.419936-05
5.199612|-75.599522|8,5.199612,-75.599522,77.11,3643,493,13.53,8,64.38,20.31,56.12,-12.73,2026-04-14 09:57:56.419936-05
5.199612|-75.599522|9,5.199612,-75.599522,77.11,3643,493,13.53,9,65.32,20.08,57.73,-11.79,2026-04-14 09:57:56.419936-05
5.199612|-75.599522|10,5.199612,-75.599522,77.11,3643,493,13.53,10,62.44,17.07,50.36,-14.67,2026-04-14 09:57:56.419936-05
5.199612|-75.599522|11,5.199612,-75.599522,77.11,3643,493,13.53,11,60.46,16.17,44.35,-16.65,2026-04-14 09:57:56.419936-05
5.199612|-75.599522|12,5.199612,-75.599522,77.11,3643,493,13.53,12,61.78,17.07,48.51,-15.33,2026-04-14 09:57:56.419936-05
5.599614|-75.499522|1,5.599614,-75.499522,76.94,3643,811,22.26,1,61.8,18.87,48.82,-15.14,2026-04-14 09:57:56.419936-05
5.599614|-75.499522|2,5.599614,-75.499522,76.94,3643,811,22.26,2,64.84,18.46,55.99,-12.1,2026-04-14 09:57:56.419936-05
5.599614|-75.499522|3,5.599614,-75.499522,76.94,3643,811,22.26,3,64.74,17.04,55.4,-12.2,2026-04-14 09:57:56.419936-05
5.599614|-75.499522|4,5.599614,-75.499522,76.94,3643,811,22.26,4,63.63,16.46,53.15,-13.31,2026-04-14 09:57:56.419936-05
5.599614|-75.499522|5,5.599614,-75.499522,76.94,3643,811,22.26,5,62.83,16.12,51.47,-14.11,2026-04-14 09:57:56.419936-05
5.599614|-75.499522|6,5.599614,-75.499522,76.94,3643,811,22.26,6,63.33,16.33,52.0,-13.61,2026-04-14 09:57:56.419936-05
5.599614|-75.499522|7,5.599614,-75.499522,76.94,3643,811,22.26,7,64.18,18.1,54.56,-12.76,2026-04-14 09:57:56.419936-05
5.599614|-75.499522|8,5.599614,-75.499522,76.94,3643,811,22.26,8,64.38,20.31,56.12,-12.56,2026-04-14 09:57:56.419936-05
5.599614|-75.499522|9,5.599614,-75.499522,76.94,3643,811,22.26,9,65.32,20.08,57.73,-11.62,2026-04-14 09:57:56.419936-05
5.599614|-75.499522|10,5.599614,-75.499522,76.94,3643,811,22.26,10,62.44,17.07,50.36,-14.5,2026-04-14 09:57:56.419936-05
5.599614|-75.499522|11,5.599614,-75.499522,76.94,3643,811,22.26,11,60.46,16.17,44.35,-16.48,2026-04-14 09:57:56.419936-05
5.599614|-75.499522|12,5.599614,-75.499522,76.94,3643,811,22.26,12,61.78,17.07,48.51,-15.16,2026-04-14 09:57:56.419936-05
4.399608|-75.899524|1,4.399608,-75.899524,76.45,3643,498,13.67,1,61.8,18.87,48.82,-14.65,2026-04-14 09:57:56.419936-05
4.399608|-75.899524|2,4.399608,-75.899524,76.45,3643,498,13.67,2,64.84,18.46,55.99,-11.61,2026-04-14 09:57:56.419936-05
4.399608|-75.899524|3,4.399608,-75.899524,76.45,3643,498,13.67,3,64.74,17.04,55.4,-11.71,2026-04-14 09:57:56.419936-05
4.399608|-75.899524|4,4.399608,-75.899524,76.45,3643,498,13.67,4,63.63,16.46,53.15,-12.82,2026-04-14 09:57:56.419936-05
4.399608|-75.899524|5,4.399608,-75.899524,76.45,3643,498,13.67,5,62.83,16.12,51.47,-13.62,2026-04-14 09:57:56.419936-05
4.399608|-75.899524|6,4.399608,-75.899524,76.45,3643,498,13.67,6,63.33,16.33,52.0,-13.12,2026-04-14 09:57:56.419936-05
4.399608|-75.899524|7,4.399608,-75.899524,76.45,3643,498,13.67,7,64.18,18.1,54.56,-12.27,2026-04-14 09:57:56.419936-05
4.399608|-75.899524|8,4.399608,-75.899524,76.45,3643,498,13.67,8,64.38,20.31,56.12,-12.07,2026-04-14 09:57:56.419936-05
4.399608|-75.899524|9,4.399608,-75.899524,76.45,3643,498,13.67,9,65.32,20.08,57.73,-11.13,2026-04-14 09:57:56.419936-05
4.399608|-75.899524|10,4.399608,-75.899524,76.45,3643,498,13.67,10,62.44,17.07,50.36,-14.01,2026-04-14 09:57:56.419936-05
4.399608|-75.899524|11,4.399608,-75.899524,76.45,3643,498,13.67,11,60.46,16.17,44.35,-15.99,2026-04-14 09:57:56.419936-05
4.399608|-75.899524|12,4.399608,-75.899524,76.45,3643,498,13.67,12,61.78,17.07,48.51,-14.67,2026-04-14 09:57:56.419936-05
5.299612|-75.699523|1,5.299612,-75.699523,76.41,3643,458,12.57,1,61.8,18.87,48.82,-14.61,2026-04-14 09:57:56.419936-05
